S-24D Kaldi 6 0.4444444444444444 S:77.0, I:0.0, D:13.0
S-24D Google 7 0.6825396825396826 S:55.0, I:1.0, D:8.0
S-24D Kaldi 7 0.5873015873015873 S:62.0, I:3.0, D:1.0
S-24D Google 8 0.5081967213114754 S:48.0, I:0.0, D:13.0
S-24D Kaldi 8 0.4426229508196721 S:56.0, I:0.0, D:5.0
S-24D Google 9 0.6503067484662577 S:122.0, I:0.0, D:41.0
S-24D Kaldi 9 0.5030674846625767 S:157.0, I:10.0, D:6.0
S-24D Google 10 0.627906976744186 S:59.0, I:0.0, D:27.0
S-24D Kaldi 10 0.4186046511627907 S:77.0, I:1.0, D:9.0
S-24D Google 11 0.6036036036036037 S:80.0, I:1.0, D:31.0
S-24D Kaldi 11 0.4594594594594595 S:98.0, I:1.0, D:13.0
S-26B Google 0 0.6236559139784946 S:67.0, I:0.0, D:26.0
S-26B Kaldi 0 0.5161290322580645 S:85.0, I:1.0, D:8.0
S-26B Google 1 0.5592592592592592 S:194.0, I:0.0, D:76.0
S-26B Kaldi 1 0.4962962962962963 S:240.0, I:5.0, D:30.0
S-26B Google 2 0.5655172413793104 S:238.0, I:0.0, D:52.0
S-26B Kaldi 2 0.4827586206896552 S:269.0, I:8.0, D:21.0
S-26B Google 3 0.7086092715231788 S:109.0, I:0.0, D:42.0
S-26B Kaldi 3 0.6556291390728477 S:136.0, I:0.0, D:15.0
S-26B Google 4 0.5296052631578947 S:241.0, I:2.0, D:63.0
S-26B Kaldi 4 0.40131578947368424 S:271.0, I:2.0, D:33.0
S-26B Google 5 0.6470588235294118 S:312.0, I:1.0, D:96.0
S-26B Kaldi 5 0.5686274509803921 S:348.0, I:1.0, D:60.0
S-26B Google 6 0.478494623655914 S:141.0, I:0.0, D:45.0
S-26B Kaldi 6 0.45698924731182794 S:170.0, I:1.0, D:16.0
S-26B Google 7 0.4752475247524752 S:86.0, I:0.0, D:15.0
S-26B Kaldi 7 0.49504950495049505 S:99.0, I:3.0, D:2.0
S-26B Google 8 0.5166666666666667 S:101.0, I:2.0, D:19.0
S-26B Kaldi 8 0.43333333333333335 S:108.0, I:3.0, D:12.0
S-26B Google 9 0.4666666666666667 S:27.0, I:0.0, D:3.0
S-26B Kaldi 9 0.5 S:29.0, I:0.0, D:1.0
S-26B Google 10 0.6736842105263158 S:76.0, I:1.0, D:19.0
S-26B Kaldi 10 0.6 S:85.0, I:1.0, D:10.0
S-26B Google 11 0.6 S:5.0, I:0.0, D:5.0
S-26B Kaldi 11 0.6 S:9.0, I:0.0, D:1.0
S-27C Google 0 0.559610705596107 S:306.0, I:0.0, D:105.0
S-27C Kaldi 0 0.45012165450121655 S:368.0, I:3.0, D:43.0
S-27C Google 1 0.5120481927710844 S:256.0, I:1.0, D:76.0
S-27C Kaldi 1 0.4126506024096386 S:300.0, I:4.0, D:32.0
S-27C Google 2 0.5444743935309974 S:262.0, I:1.0, D:109.0
S-27C Kaldi 2 0.40970350404312667 S:337.0, I:3.0, D:34.0
S-27C Google 3 0.5644171779141104 S:356.0, I:6.0, D:133.0
S-27C Kaldi 3 0.43558282208588955 S:433.0, I:8.0, D:56.0
S-27C Google 4 0.5532846715328467 S:510.0, I:1.0, D:175.0
S-27C Kaldi 4 0.4248175182481752 S:605.0, I:4.0, D:80.0
S-27C Google 5 0.5095238095238095 S:787.0, I:2.0, D:263.0
S-27C Kaldi 5 0.43142857142857144 S:900.0, I:8.0, D:150.0
S-27C Google 6 0.5535714285714286 S:112.0, I:0.0, D:56.0
S-27C Kaldi 6 0.4642857142857143 S:138.0, I:1.0, D:30.0
S-27C Google 7 0.5172413793103449 S:43.0, I:0.0, D:15.0
S-27C Kaldi 7 0.43103448275862066 S:50.0, I:0.0, D:8.0
S-27C Google 8 0.6761904761904762 S:73.0, I:0.0, D:32.0
S-27C Kaldi 8 0.5904761904761905 S:93.0, I:0.0, D:12.0
S-27C Google 9 0.5811965811965812 S:83.0, I:2.0, D:34.0
S-27C Kaldi 9 0.48717948717948717 S:103.0, I:1.0, D:14.0
S-27C Google 10 0.6444444444444445 S:33.0, I:0.0, D:12.0
S-27C Kaldi 10 0.5111111111111111 S:39.0, I:0.0, D:6.0
S-27C Google 11 0.5871559633027523 S:71.0, I:1.0, D:38.0
S-27C Kaldi 11 0.45871559633027525 S:87.0, I:0.0, D:22.0
